ref,uid,pool_size,roles_clean,industries_clean,location_clean,latitude,longitude,city,state,cleaned_roles,gpt_industry,PC URL
66fcd6d113ed8d12c1ef9096,66fcd5e534e7b168b70be2bf,9348,63c0faf0068edc34f8ecbda9,"local business, medium businesses, small",Connecticut,41.6032207,-73.087749,,Connecticut,,Other,https://app-next.findem.io/searches/66fcd6d113ed8d12c1ef9096?joid=66fcd5e534e7b168b70be2bf&redirect_joid=66fcd5e534e7b168b70be2bf&back=search
66fec16d13ed8db68def90b0,66fec0db34e7b1409c0be7a5,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fec16d13ed8db68def90b0?joid=66fec0db34e7b1409c0be7a5&redirect_joid=66fec0db34e7b1409c0be7a5&back=search
66febc1b13ed8d4a49ef90af,66febbded51c971346f9a364,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66febc1b13ed8d4a49ef90af?joid=66febbded51c971346f9a364&redirect_joid=66febbded51c971346f9a364&back=search
66fec6f813ed8d4f94ef90b3,66fec6e0cde6b2060fdf56ec,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fec6f813ed8d4f94ef90b3?joid=66fec6e0cde6b2060fdf56ec&redirect_joid=66fec6e0cde6b2060fdf56ec&back=search
66feb13b13ed8de6f7ef90ae,66feb0fc34e7b1d8180be780,9348,63c0faf0068edc34f8ecbda9,"local business, medium businesses, small",Connecticut,41.6032207,-73.087749,,Connecticut,,Other,https://app-next.findem.io/searches/66feb13b13ed8de6f7ef90ae?joid=66feb0fc34e7b1d8180be780&redirect_joid=66feb0fc34e7b1d8180be780&back=search
66fa44aa13ed8d2d95ef906e,66fa4364d51c97847df79796,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fa44aa13ed8d2d95ef906e?joid=66fa4364d51c97847df79796&redirect_joid=66fa4364d51c97847df79796&back=search
66fd5c1913ed8d40ceef909d,66fd5bbf34e7b1ec400be3a0,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fd5c1913ed8d40ceef909d?joid=66fd5bbf34e7b1ec400be3a0&redirect_joid=66fd5bbf34e7b1ec400be3a0&back=search
66fc0fb513ed8d730eef9084,66fc0f5d34e7b13bd10be13b,1392,"clinical, ker, licensed, social w",social assistance,Lorain,41.452819,-82.1823746,Lorain,Ohio,"clinical, ker, licensed, social w",Healthcare,https://app-next.findem.io/searches/66fc0fb513ed8d730eef9084?joid=66fc0f5d34e7b13bd10be13b&redirect_joid=66fc0f5d34e7b13bd10be13b&back=search
66fdb31d13ed8d3846ef90a7,66fdb042a5f1d968b1ec692f,76,"class a, class a truck driver, long haul, otr, truck driver","freight service, tation, transp",Michigan,44.3148443,-85.6023643,,Michigan,"class a, class a truck driver, long haul, otr, truck driver",Logistics,https://app-next.findem.io/searches/66fdb31d13ed8d3846ef90a7?joid=66fdb042a5f1d968b1ec692f&redirect_joid=66fdb042a5f1d968b1ec692f&back=search
66fd8d0413ed8d1990ef90a3,66fd8cc7cde6b27b02df56dd,11220,barista,coffee,Los Angeles,34.0549076,-118.242643,Los Angeles,California,barista,Hospitality,https://app-next.findem.io/searches/66fd8d0413ed8d1990ef90a3?joid=66fd8cc7cde6b27b02df56dd&redirect_joid=66fd8cc7cde6b27b02df56dd&back=search
66fee32813ed8d3d03ef90bb,66fee2d134e7b1e0be0be936,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fee32813ed8d3d03ef90bb?joid=66fee2d134e7b1e0be0be936&redirect_joid=66fee2d134e7b1e0be0be936&back=search
66fec8de13ed8db245ef90b5,66fec895de04213cd17f85f6,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fec8de13ed8db245ef90b5?joid=66fec895de04213cd17f85f6&redirect_joid=66fec895de04213cd17f85f6&back=search
66fee22113ed8d1e70ef90ba,66fedf10cde6b2173ddf56f1,223,"automotive, automotive repair, automotive technician, diagnostics, technician",automotive,Oceanside,33.1976677,-117.3787563,Oceanside,California,"automotive, automotive repair, automotive technician, diagnostics, technician",Automotive,https://app-next.findem.io/searches/66fee22113ed8d1e70ef90ba?joid=66fedf10cde6b2173ddf56f1&redirect_joid=66fedf10cde6b2173ddf56f1&back=search
66feff9113ed8d12cdef90c1,66feff3334e7b17f030be976,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66feff9113ed8d12cdef90c1?joid=66feff3334e7b17f030be976&redirect_joid=66feff3334e7b17f030be976&back=search
670003fc13ed8d1f22ef90d8,6700037971113026d2f1d593,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/670003fc13ed8d1f22ef90d8?joid=6700037971113026d2f1d593&redirect_joid=6700037971113026d2f1d593&back=search
66ff0ca013ed8d01bcef90c6,66fefa237111300022f1d387,8222,"chief technology officer, cto","age, b2b, cloud computing, cloud data services, cloud management, cloud st, inf, mation technology",Rochester,43.1565779,-77.6088465,Rochester,New York,"chief technology officer, cto",Technology,https://app-next.findem.io/searches/66ff0ca013ed8d01bcef90c6?joid=66fefa237111300022f1d387&redirect_joid=66fefa237111300022f1d387&back=search
66fee92c13ed8d17d7ef90bd,66fee6ee71113064c3f1d1da,238122,software engineer,"inf, it infrastructure, it management, mation services, software",Bengaluru,12.9715987,77.5945627,Bengaluru,Karnataka,software engineer,Technology,https://app-next.findem.io/searches/66fee92c13ed8d17d7ef90bd?joid=66fee6ee71113064c3f1d1da&redirect_joid=66fee6ee71113064c3f1d1da&back=search
66fef29313ed8dd95bef90bf,66fef229b04084bda13df5ee,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66fef29313ed8dd95bef90bf?joid=66fef229b04084bda13df5ee&redirect_joid=66fef229b04084bda13df5ee&back=search
66ff664b13ed8d1b98ef90ce,66ff652d71113064e9f1d4cd,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66ff664b13ed8d1b98ef90ce?joid=66ff652d71113064e9f1d4cd&redirect_joid=66ff652d71113064e9f1d4cd&back=search
66fef72e13ed8d7a7bef90c0,66fef6f7711130ed98f1d282,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66fef72e13ed8d7a7bef90c0?joid=66fef6f7711130ed98f1d282&redirect_joid=66fef6f7711130ed98f1d282&back=search
66ff7c3c13ed8da567ef90d0,66ff7c0f34e7b1709a0bea02,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66ff7c3c13ed8da567ef90d0?joid=66ff7c0f34e7b1709a0bea02&redirect_joid=66ff7c0f34e7b1709a0bea02&back=search
66ff3dec13ed8dc115ef90cc,66ff3ce7711130d83ef1d476,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/66ff3dec13ed8dc115ef90cc?joid=66ff3ce7711130d83ef1d476&redirect_joid=66ff3ce7711130d83ef1d476&back=search
66ff05dc13ed8d0922ef90c4,66ff0576de04215a037f8c51,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/66ff05dc13ed8d0922ef90c4?joid=66ff0576de04215a037f8c51&redirect_joid=66ff0576de04215a037f8c51&back=search
67011f1a13ed8d90e1ef90ed,67011eb7de042145517f9535,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/67011f1a13ed8d90e1ef90ed?joid=67011eb7de042145517f9535&redirect_joid=67011eb7de042145517f9535&back=search
6701133613ed8df893ef90eb,67011311de042109247f9437,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6701133613ed8df893ef90eb?joid=67011311de042109247f9437&redirect_joid=67011311de042109247f9437&back=search
67018d0913ed8d1e29ef90f1,67018c7dd4e0901f4e50160e,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/67018d0913ed8d1e29ef90f1?joid=67018c7dd4e0901f4e50160e&redirect_joid=67018c7dd4e0901f4e50160e&back=search
670028a413ed8dee77ef90de,6700284234e7b118540bebac,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/670028a413ed8dee77ef90de?joid=6700284234e7b118540bebac&redirect_joid=6700284234e7b118540bebac&back=search
6701aa1913ed8d80f2ef90f3,6701a9172768e41cebe40fd5,11220,barista,hospitality,Los Angeles,34.0549076,-118.242643,Los Angeles,California,barista,Hospitality,https://app-next.findem.io/searches/6701aa1913ed8d80f2ef90f3?joid=6701a9172768e41cebe40fd5&redirect_joid=6701a9172768e41cebe40fd5&back=search
6701e6f913ed8dba33ef90f5,6701e699443db29f5d29807e,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6701e6f913ed8dba33ef90f5?joid=6701e699443db29f5d29807e&redirect_joid=6701e699443db29f5d29807e&back=search
67020cb913ed8da724ef90f8,67020c842768e4318fe410a8,11220,barista,coffee,Los Angeles,34.0549076,-118.242643,Los Angeles,California,barista,Hospitality,https://app-next.findem.io/searches/67020cb913ed8da724ef90f8?joid=67020c842768e4318fe410a8&redirect_joid=67020c842768e4318fe410a8&back=search
6700218313ed8df2c0ef90dd,66faca29cde6b2d120df5697,609,"66367dae70ac3967fdca2d12, der cook, sh, t","hospitality, restaurants",Rochester,43.1565779,-77.6088465,Rochester,New York,der cook,Hospitality,https://app-next.findem.io/searches/6700218313ed8df2c0ef90dd?joid=66faca29cde6b2d120df5697&redirect_joid=66faca29cde6b2d120df5697&back=search
6700729b13ed8d1a92ef90e8,66ee065aa34bd0727445d30e,542,"e manager, retail st, st",retail,Visalia,36.3301329,-119.2966367,Visalia,California,"e manager, retail st",Retail,https://app-next.findem.io/searches/6700729b13ed8d1a92ef90e8?joid=66ee065aa34bd0727445d30e&redirect_joid=66ee065aa34bd0727445d30e&back=search
6702dbdd13ed8db713ef9102,6702db87d4e0906fe750191a,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6702dbdd13ed8db713ef9102?joid=6702db87d4e0906fe750191a&redirect_joid=6702db87d4e0906fe750191a&back=search
670204ab13ed8d83b2ef90f7,670203b7d4e090a4845016c0,2089,"apparel, assistant, designer, fashion, fashion design, fashion designer, personal assistant",fashion,California,36.778261,-119.4179324,,California,"apparel, assistant, designer, fashion, fashion design, fashion designer, personal assistant",Retail,https://app-next.findem.io/searches/670204ab13ed8d83b2ef90f7?joid=670203b7d4e090a4845016c0&redirect_joid=670203b7d4e090a4845016c0&back=search
6703de7d13ed8d50d8ef910f,6703de2fd4e09089ef501af9,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6703de7d13ed8d50d8ef910f?joid=6703de2fd4e09089ef501af9&redirect_joid=6703de2fd4e09089ef501af9&back=search
6703f04513ed8d21d8ef9112,6703ef9a0dbee78e6d140690,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6703f04513ed8d21d8ef9112?joid=6703ef9a0dbee78e6d140690&redirect_joid=6703ef9a0dbee78e6d140690&back=search
670379aa13ed8d327bef910b,670379300dbee7eae913d937,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/670379aa13ed8d327bef910b?joid=670379300dbee7eae913d937&redirect_joid=670379300dbee7eae913d937&back=search
6703172713ed8da39fef9105,670317080dbee7d71e13a931,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/6703172713ed8da39fef9105?joid=670317080dbee7d71e13a931&redirect_joid=670317080dbee7d71e13a931&back=search
6702f74013ed8d76eeef9103,6702f704d4e0904c78501924,11220,barista,hospitality,Los Angeles,34.0549076,-118.242643,Los Angeles,California,barista,Hospitality,https://app-next.findem.io/searches/6702f74013ed8d76eeef9103?joid=6702f704d4e0904c78501924&redirect_joid=6702f704d4e0904c78501924&back=search
6703f18e13ed8d4f2def9113,6703f1072768e48994e4140c,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6703f18e13ed8d4f2def9113?joid=6703f1072768e48994e4140c&redirect_joid=6703f1072768e48994e4140c&back=search
6703ff1613ed8d0b42ef9117,6703fed52768e4164be4148a,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/6703ff1613ed8d0b42ef9117?joid=6703fed52768e4164be4148a&redirect_joid=6703fed52768e4164be4148a&back=search
67041e9213ed8d6687ef911f,66fc3846de04211f757f817f,6596,"gardener, l, scape, scaper, technician","l, scaping",California,36.778261,-119.4179324,,California,"gardener, scape, scaper, technician",Construction,https://app-next.findem.io/searches/67041e9213ed8d6687ef911f?joid=66fc3846de04211f757f817f&redirect_joid=66fc3846de04211f757f817f&back=search
6702db6613ed8d6da4ef9101,6702db319b8f6f37323d85ca,6743,"66367dae70ac3967fdca2d12, host",hospitality,New Jersey,40.0583238,-74.4056612,,New Jersey,host,Hospitality,https://app-next.findem.io/searches/6702db6613ed8d6da4ef9101?joid=6702db319b8f6f37323d85ca&redirect_joid=6702db319b8f6f37323d85ca&back=search
67041e9c13ed8d3becef9120,67041df02768e43b7ce417f9,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/67041e9c13ed8d3becef9120?joid=67041df02768e43b7ce417f9&redirect_joid=67041df02768e43b7ce417f9&back=search
67043b3a13ed8d65f2ef912c,67043ad7443db22ad52986f7,9348,63c0faf0068edc34f8ecbda9,"local business, medium businesses, small",Connecticut,41.6032207,-73.087749,,Connecticut,,Other,https://app-next.findem.io/searches/67043b3a13ed8d65f2ef912c?joid=67043ad7443db22ad52986f7&redirect_joid=67043ad7443db22ad52986f7&back=search
670439d013ed8d2e66ef912a,670439930dbee76106148a0e,9348,63c0faf0068edc34f8ecbda9,"local business, medium businesses, small",Connecticut,41.6032207,-73.087749,,Connecticut,,Other,https://app-next.findem.io/searches/670439d013ed8d2e66ef912a?joid=670439930dbee76106148a0e&redirect_joid=670439930dbee76106148a0e&back=search
67043b1013ed8d9254ef912b,67043ad7443db22ad52986f7,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/67043b1013ed8d9254ef912b?joid=67043ad7443db22ad52986f7&redirect_joid=67043ad7443db22ad52986f7&back=search
67041ef713ed8d3474ef9121,67041df02768e43b7ce417f9,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/67041ef713ed8d3474ef9121?joid=67041df02768e43b7ce417f9&redirect_joid=67041df02768e43b7ce417f9&back=search
670441d813ed8d618def912e,6704419b2768e46905e418cf,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/670441d813ed8d618def912e?joid=6704419b2768e46905e418cf&redirect_joid=6704419b2768e46905e418cf&back=search
6704221a13ed8dbd9def9122,67041eb63ba1b722470fdf0f,11551,"club swim coach, coach, head coach, swim","sp, training, ts",,,,,,"club swim coach, coach, head coach, swim",Education,https://app-next.findem.io/searches/6704221a13ed8dbd9def9122?joid=67041eb63ba1b722470fdf0f&redirect_joid=67041eb63ba1b722470fdf0f&back=search
670434ac13ed8d1568ef9128,67aa432d780b79125a22fa9b,123214,"nurse, registered nurse","health care, health insurance, home health care",Texas,31.9685988,-99.9018131,,Texas,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/670434ac13ed8d1568ef9128?joid=67aa432d780b79125a22fa9b&redirect_joid=67aa432d780b79125a22fa9b&back=search
670442b813ed8d6e65ef912f,67043e6c2768e4dd94e418c7,3077,"guard, officer, security, security guard, security patrol","cyber security, k security, national security, netw",Houston,29.7600771,-95.3701108,Houston,Texas,"guard, officer, security, security guard, security patrol",Government,https://app-next.findem.io/searches/670442b813ed8d6e65ef912f?joid=67043e6c2768e4dd94e418c7&redirect_joid=67043e6c2768e4dd94e418c7&back=search
6704110f13ed8df17def911a,670410b9d4e0900d0a501d7d,716,"analyst, budgeting, finance, financial analyst",government,Herndon,38.9695545,-77.3860976,Herndon,Virginia,"analyst, budgeting, finance, financial analyst",Finance,https://app-next.findem.io/searches/6704110f13ed8df17def911a?joid=670410b9d4e0900d0a501d7d&redirect_joid=670410b9d4e0900d0a501d7d&back=search
670484e313ed8d4d8eef913b,6704847d0dbee77702150d40,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/670484e313ed8d4d8eef913b?joid=6704847d0dbee77702150d40&redirect_joid=6704847d0dbee77702150d40&back=search
6705268313ed8d9383ef9152,6705261d2768e4c6fde41e0a,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6705268313ed8d9383ef9152?joid=6705261d2768e4c6fde41e0a&redirect_joid=6705261d2768e4c6fde41e0a&back=search
67045b4713ed8d7d22ef9134,67045b29d4e09039b450206f,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/67045b4713ed8d7d22ef9134?joid=67045b29d4e09039b450206f&redirect_joid=67045b29d4e09039b450206f&back=search
6704b3d513ed8d2cddef9140,6704b3940dbee7416f151f7c,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/6704b3d513ed8d2cddef9140?joid=6704b3940dbee7416f151f7c&redirect_joid=6704b3940dbee7416f151f7c&back=search
6704b8bf13ed8dc83bef9141,6704397c2768e44126e418b5,246,"elevat, engineer, mechanic, repairman, service, technician","elevat, repair",California,36.778261,-119.4179324,,California,"elevat, engineer, mechanic, repairman, service, technician",Other,https://app-next.findem.io/searches/6704b8bf13ed8dc83bef9141?joid=6704397c2768e44126e418b5&redirect_joid=6704397c2768e44126e418b5&back=search
67052a1313ed8d6226ef9153,670529e6443db227e12989fd,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/67052a1313ed8d6226ef9153?joid=670529e6443db227e12989fd&redirect_joid=670529e6443db227e12989fd&back=search
6705d54313ed8d7b81ef916e,6705d51ea82ca13a60654544,31778,project manager,project management,Seattle,47.6061389,-122.3328481,Seattle,Washington,project manager,Other,https://app-next.findem.io/searches/6705d54313ed8d7b81ef916e?joid=6705d51ea82ca13a60654544&redirect_joid=6705d51ea82ca13a60654544&back=search
67055ef813ed8d6ec1ef915c,67055e8f2768e457f9e41efe,1915,"assembly line, er, general lab, ker, lab, manufacturing, production, w","industrial manufacturing, machinery manufacturing, manufacturing",Michigan,44.3148443,-85.6023643,,Michigan,"assembly line, general lab, ker, lab, manufacturing, production",Manufacturing,https://app-next.findem.io/searches/67055ef813ed8d6ec1ef915c?joid=67055e8f2768e457f9e41efe&redirect_joid=67055e8f2768e457f9e41efe&back=search
67058c3a13ed8df51eef9165,67058b1ad4e09011465027e1,80625,"nurse, registered nurse","health care, health insurance, home health care",New York,40.7127753,-74.0059728,New York,New York,"nurse, registered nurse",Healthcare,https://app-next.findem.io/searches/67058c3a13ed8df51eef9165?joid=67058b1ad4e09011465027e1&redirect_joid=67058b1ad4e09011465027e1&back=search
